BANK,YEAR,Tổng LNTT,Tổng LNST,Tổng tài sản,TỔNG NỢ PHẢI TRẢ,TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,Dư nợ cho vay/Tổng tài sản Có,Dự phòng rủi ro tín dụng/Tổng dư nợ
ACB,2006,687219,505576,44645039,42948524,44645039,38.11,0.35000000000000003
ACB,2005,391550,299201,24272864,22989658,24272864,38.65,0.22
ACB,2004,277999,211679,15416674,14710990,15416674,43.45,0.0
ACB,2003,188402,132128,10854801,10292410,10854801,49.31,0.0
ACB,2018,6388571,5137052,329333241,308315342,329333241,70.0,-0.5
ACB,2017,2656207,2118131,284316123,268285276,284316123,69.82,-0.87
ACB,2016,1667026,1325174,233680877,219618161,233680877,69.92,-1.3599999999999999
ACB,2015,1314151,1028232,201456985,188669443,201456985,66.53,-1.5
ACB,2010,3102248,2334794,205102950,193726193,205102950,42.51,0.8200000000000001
ACB,2009,2838164,2201204,167881047,157774760,167881047,37.14,0.81
ACB,2008,2560580,2210682,105306130,97539662,105306130,33.08,0.66
ACB,2007,2126815,1760008,85391681,79133832,85391681,37.25,0.42
ACB,2014,1215401,951802,179609771,167212468,179609771,64.76,-1.6600000000000001
ACB,2013,1035560,826493,166598989,154094787,166598989,64.34,-1.87
ACB,2012,1042676,784040,176307607,163683155,176307607,58.32,1.46
ACB,2011,4202693,3207841,281019319,269060227,281019319,36.58,0.96
VCB,2006,3893668,2877021,166952020,155749678,166952020,40.58,2.2
VCB,2005,1759883,1292553,136720611,128097841,136720611,44.65,2.2
VCB,2004,1498585,1103813,120006267,112756322,120006267,44.67,1.55
VCB,2003,901434,616856,97653124,91729315,97653124,40.63,2.01
VCB,2010,5479183,4235792,307496090,286706579,307496090,57.5,3.15
VCB,2009,5004374,3944753,255495883,238676242,255495883,55.43,3.27
VCB,2008,1654708,1350316,221950448,208057011,221950448,50.82,3.7800000000000002
VCB,2007,3192119,2407061,197408036,183772150,197408036,49.41,2.16
VCB,2014,5842862,4584770,576995651,533523828,576995651,56.04,-1.55
VCB,2013,5743076,4377582,468994032,426458340,468994032,58.49,-1.47
VCB,2012,5764298,4420993,414488317,372789553,414488317,58.18,2.19
VCB,2011,5697405,4217332,366722279,337940349,366722279,57.11,2.54
VCB,2018,18269226,14622062,1074026560,1011847181,1074026560,58.83,-0.7000000000000001
VCB,2017,11341361,9110588,1035293283,982735324,1035293283,52.49,-0.89
VCB,2016,8523083,6851001,787906892,739805382,787906892,58.49,-1.19
VCB,2015,6827457,5332067,674394640,629222298,674394640,57.41,-1.6099999999999999
